dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence
is,"Altura is hosted on MEE (Macmillan Education Everywhere), a Learning Management System (LMS) that
offers Schools a platform which they can easily adapt to.",Altura is hosted on MEE Macmillan Education Everywhere a Learning Management System LMS that offers Schools a platform which they can easily adapt to,altura is hosted on mee macmillan
dust,"Colour the things that need air
(CG-1|06-2106-4 i + Prove that air occupies space water vapour | to move
06-4) 06-7) + Prove that air has mass changi : :
; + Find out that air contains dust particles ng + Comprehension questions
+ Prove that air contains water vapour to water + HOTS
n° + Weave a story droplets
+ Infer that air helps in burning
4.",Colour the things that need air CG10621064 i  Prove that air occupies space water vapour  to move 064 067  Prove that air has mass changi     Find out that air contains dust particles ng  Comprehension questions  Prove that air contains water vapour to water  HOTS n  Weave a story droplets  Infer that air helps in burning 4,find out that air contains dust particles ng comprehension questions
cut,"ame Re
= 3M Rp)
~e et '

Animals such as cows and buffaloes first bite and cut leaves and grass into

Act
pieces, They have sharp front teeth for biting and cutting Later, they chew and ti

Have you seen ants moving and working together as a team?",ame Re  3M Rp e et   Animals such as cows and buffaloes first bite and cut leaves and grass into  Act pieces They have sharp front teeth for biting and cutting Later they chew and ti  Have you seen ants moving and working together as a team,and buffaloes first bite and cut leaves and grass into
hygiene,"Hygiene: We must practice
good hygiene and keep our
bodies clean.",Hygiene We must practice good hygiene and keep our bodies clean,hygiene we must practice good
remember,"a Dea The brain helps us to see, hear, think, B
(EX remember and do many other functions of ae
We spinalcord __ the body.",a Dea The brain helps us to see hear think B EX remember and do many other functions of ae We spinalcord  the body,see hear think b ex remember and do many other
millions,"Similarly, the human body is made up of millions of
tiny structures called cells.",Similarly the human body is made up of millions of tiny structures called cells,body is made up of millions of tiny structures called
describe,@ describe Mightioss birds ond waterbirds., describe Mightioss birds ond waterbirds,describe mightioss birds ond waterbirds
ten,"Insert a straw | b Enews coensst need | ears ten Neng nou alee bare Anema Neve
straw-like mouth parts that help _| in the pace and suck
i

= Identity he natonal enema of | been on the Lath even before the appearance of human bewwps.",Insert a straw  b Enews coensst need  ears ten Neng nou alee bare Anema Neve strawlike mouth parts that help  in the pace and suck i   Identity he natonal enema of  been on the Lath even before the appearance of human bewwps,b enews coensst need ears ten neng nou alee bare
around,"https://mee.macmillaneducation.com/

Col = Beaks of beds
body Pats of Bled i} Gaz a
et ar reat dy a SIT a mtn immry oe

orm = es



Page nummber: 2
_ CHAPTER

| "" UNIT
Unit | pyiBody
The Human Body
The Food We Eat

Unit Il Pay: a :
we World Around Us.|>: Living and Non-Living Things 35
4.",httpsmeemacmillaneducationcom  Col  Beaks of beds body Pats of Bled i Gaz a et ar reat dy a SIT a mtn immry oe  orm  es    Page nummber 2  CHAPTER    UNIT Unit  pyiBody The Human Body The Food We Eat  Unit Il Pay a  we World Around Us Living and NonLiving Things 35 4,il pay a we world around us living and nonliving
fleshy,"Muscles are the soft and fleshy parts
of the human body.",Muscles are the soft and fleshy parts of the human body,muscles are the soft and fleshy parts of the human
happen,"Do It) Yourself

¢ Art-Integrated Learning

Safety

> e Information Literacy ¢ Creativity

If we are careless, accidents can
happen that can cause injury to
our bodies.",Do It Yourself   ArtIntegrated Learning  Safety   e Information Literacy  Creativity  If we are careless accidents can happen that can cause injury to our bodies,we are careless accidents can happen that can cause injury
journey,"It has something to offer to all the stakeholders
involved in the journey of education, be it learners, parents, teachers, or principals.",It has something to offer to all the stakeholders involved in the journey of education be it learners parents teachers or principals,the stakeholders involved in the journey of education be it
