word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
healthy,3_science_LS2,to grow well and stay healthy we should have a,To grow well and stay ******* we should have a,"Hirsch's Scapin is healthy , cheerful , energetic , revelling in his physical agility and his obvious superiority to the young gentlemen whom he serves .","Hirsch's scapin is ******* , cheerful , energetic , revelling in his physical agility and his obvious superiority to the young gentlemen whom he serves .",It's important to stay healthy.,It's important to stay *******.
list,3_science_LS2,list the harmful effects of,**** the harmful effects of,The Central Falls City Council expressed concern especially that more foods be placed on the eligible list and that neighborhood grocery and variety stores be allowed to do business on Sunday .,The central falls city council expressed concern especially that more foods be placed on the eligible **** and that neighborhood grocery and variety stores be allowed to do business on sunday .,Make a list of your toys.,Make a **** of your toys.
revise,3_science_LS2,complete the flow chart to revise the different components of,Complete the flow chart to ****** the different components of,Tom was not willing to revise the play according to the plan the man suggested .,Tom was not willing to ****** the play according to the plan the man suggested ., Let's revise our essays., let's ****** our essays.
correct,3_science_LS2,tick v the correct option,Tick v the ******* option,He assured Mr. Martinelli and the council that he would study the correct method and report back to the council as soon as possible .,He assured mr. martinelli and the council that he would study the ******* method and report back to the council as soon as possible .,Circle the correct answer.,Circle the ******* answer.
powder,3_science_LS2,a tablespoon each of coconut powder rice mustard and cumin,A tablespoon each of coconut ****** rice mustard and cumin,"'' Despite Company threats , duly carried through , to cut off supplies of powder , ball , and thread for fishing nets , about 350 persons stayed in the village .","'' despite company threats , duly carried through , to cut off supplies of ****** , ball , and thread for fishing nets , about 350 persons stayed in the village .",Add a teaspoon of cocoa powder.,Add a teaspoon of cocoa ******.
rich,3_science_LS2,peas and eggs are rich in proteins,Peas and eggs are **** in proteins,"Second grand prize of $5,000 went to Mrs. Clara L. Oliver for her Hawaiian coffee ring , a rich yeast bread with coconut filling and vanilla glaze .","Second grand prize of $5,000 went to mrs. clara l. oliver for her hawaiian coffee ring , a **** yeast bread with coconut filling and vanilla glaze .",Fruits are rich in vitamins.,Fruits are **** in vitamins.
learnt,3_science_LS2,skills and concepts you have learnt in this lesson go,Skills and concepts you have ****** in this lesson go,No example sentence found.,No example sentence found.,I learnt to ride a bike.,I ****** to ride a bike.
learn,3_science_LS2,let us learn about the different components,Let us ***** about the different components,"The impression has nevertheless been given during these three days , despite Mr. Rusk's personal popularity , that the United States delegation came to Oslo in a somewhat tentative and exploratory frame of mind , more ready to listen and learn than to enunciate firm policy on a global scale with detailed application to individual danger spots .","The impression has nevertheless been given during these three days , despite mr. rusk's personal popularity , that the united states delegation came to oslo in a somewhat tentative and exploratory frame of mind , more ready to listen and ***** than to enunciate firm policy on a global scale with detailed application to individual danger spots .",I learn new words every day.,I ***** new words every day.
mango,3_science_LS2,will need apple orange grapes mango papaya banana honey method,Will need apple orange grapes ***** papaya banana honey method,No example sentence found.,No example sentence found.,I love eating ripe mangoes.,I love eating ripe *****es.
every,3_science_LS2,every state my prideg and,***** state my prideg and,The department apparently intends to make the Rural Roads Authority a revolving fund under which new bonds would be issued every time a portion of the old ones are paid off by tax authorities .,The department apparently intends to make the rural roads authority a revolving fund under which new bonds would be issued ***** time a portion of the old ones are paid off by tax authorities .,Every child got a balloon.,***** child got a balloon.
code,3_science_LS2,tour scan the q qr code and listen to the,Tour scan the q qr **** and listen to the,"If there had been , he would have found a loophole , because Arnold is one golfer who knows the code as thoroughly as the man who wrote the book .","If there had been , he would have found a loophole , because arnold is one golfer who knows the **** as thoroughly as the man who wrote the book .", The secret code is 1234., the secret **** is 1234.
what,3_science_LS2,what do these pictures tell,**** do these pictures tell,"Before adjournment Monday afternoon , the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made .","Before adjournment monday afternoon , the senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine **** adjustments should be made .",What is your name?,**** is your name?
food,3_science_LS2,page nummber 1 2 the food we eat lesson schema,Page nummber 1 2 the **** we eat lesson schema,"The Louisiana city is known , of course , for its fine food , good music and its colorful hospitality `` and , when guests arrive at Philmont that night '' , says Mrs. Grinsfelder , `` that is exactly what we expect to offer them .","The louisiana city is known , of course , for its fine **** , good music and its colorful hospitality `` and , when guests arrive at philmont that night '' , says mrs. grinsfelder , `` that is exactly what we expect to offer them .",I love Italian food.,I love italian ****.
